Name,HighestDegree,Division,DivisionAddress,PersonalAddress,Email,PhoneNumber,Department,JobTitle,JobDescription,Salary,Birthdate,SocialSecurity
NiCHolas RITtEr,GED,Central Division,"202 Main st, coLumbUS, oh 43085","2699 pamElA ISlAnD APt. 523
mELiSsaPOrT, mp 52792",NichOLaS_ritTEr%KLB.COm,956.790.2423,Operations,oPERaTions ASSociaTe levEl 1%,"perfORms pRODUCtION and OPeRAtiONAl TAsks wiThiN THe CenTraL DIvisIon, eNsuRIng quaLitY ANd EFficIenCY in prOCESses.",,1999-29-8,040-75-09586@
GaRrEtT KeLlEy!,GED,North Division,,"5498 courTnEy LOCk
NEw MEgHAnFuRt, me 73144!",garrETt_KELLEy@KLb.cOm,460.685.7646x0363,Operations,opEraTIOns AssOcIATE LEVEl 6,"pERfORMs PrODuctioN and OpeRAtIonAl tasKS wIthIN the NOrTH dIvIsIon, eNsuriNg QuALiTy AnD efFiCieNcY IN pROCESSes.",38251.87,10-1977-07,551 56 6632
RObERT LaNDRy@,MA,South Division,,"2266 MOrGAN TuRNpiKE SuiTE 626
aLExISbUrgH, Fl 78218",,,Administrative,,"PRoVides ADminISTRAtIvE suPPOrT WItHin The SoUtH dIvISIOn, ASsISTing with sCHeDULinG, dOCUmentaTION, AND comMuNIcaTiOn TAskS.#",44248.09,1997/9/28,402/21/4973
NICOLE STEVENS,HS,,"101 weSt Dr, saCRAmeNTo, ca 94203$","231 HErNanDEZ STREeT
jOsEpHBury, iA 82011",NIcoLE_STeveNS@kLB..CoM,374.568.2383,Operations,operAtiONS aSsOcIatE leVEL 4,"peRfOrmS pRoductiOn aNd OPERATiOnaL taSkS WiThIn tHE WEst dIVisION, enSuRinG QUalItY AnD eFFIcIEnCY In ProCESSES.",32622.26,16.1986.7,021-85-440@
SuSAN LONg^,AB,North Division,"123 NORTH st, spRINgFIELD, IL 62701*","pSc 5121, BoX 0184
aPo AE 51543%",SUSAN_LoNg#KlB.COm,(626)744-1802,Operations,OPErAtiONs asSocIATe lEvEl 1$,"PeRFORMS proDUCTIon AnD opErATIoNal TASKS wItHiN The nORTh diViSIOn, eNSURInG QUAliTY AnD eFFiCIEnCY IN PRoCeSSEs.$",35816.85,1988.11.12,063-65-571$
MAtThEW ZIMMERMaN,HS,West Division,"101 West Dr, saCrAMenTO, CA 94203@","10926 hiLL rEST
EaST kAyLAForT, ut 55546",maTThew_ZIMMErMan#KLb.COM,+1-578-523-4763x0412,Operations,oPERaTionS assoCiaTe leVEl 4*,,34061.48,1992.3.27,472 01 917
pAMelA pAtTERson,AB,Central Division,"202 MaiN sT, cOLumbuS, OH 43085","6764 gIlbert waLl
wesT ARTHUr, dC 30054",pAMEla_pATTersOn@klb.com,905-649-9248,Operations,operATioNs ASSOcIAte LevEL 4@,"PERfORmS pROduCTIon aND OpeRAtionAl tASKs wIThin THE CeNTrAL divisiOn, ensuRINg QUaLiTy AnD effICIeNcY in prOCeSsES.",33340.63,,804/19/1218
daviD poWerS,HS,Central Division,"202 MAin st, coLuMBUS, Oh 43085",,DAvid_POwers%KLb.cOM,9605704770,Operations,OpERaTIoNS AssOCiAte leVEL 3*,"PErFOrMS ProDuction And OpErAtioNal TaskS wItHIn thE CentRAL DIviSIOn, ENsUrInG quAlity aNd EFFIcieNcy In pROCesSeS.$",30443.68,,012 45 269
dAnielle BelL,CTE,East Division,"789 easT BLVd, alBAny, ny 12201!","4512 TrAN roAd
JUSTINvIEw, Fl 23820!",dAnieLLe_BELl@klb.COm,6349040113,Operations,,"PERfoRMS PROdUCtion ANd opeRatIONaL TasKS witHin THE EAST dIViSiON, ensuRIng quALity And eFFICiENcY iN prOcesSEs.",27449.41,,162 18 4214
katIE rOSs&,BS,South Division,,"81214 NOvak foRds
RAmOsFORt, PA 05773%",KATIe_ROss@klB.Com,+1-756-689-5461x2360,,EnGIneEr LEVel 1,"WORKs oN TeCHNICAL PROJECts, eNsUrEs coMplIANcE WITH SAFeTY stAnDArDS, anD proVIDEs eNGINeerIng SoLUTiOns As enGIneER LEVel 1.@",,1978.03.04,
sarah HArt,PhD,North Division,"123 norTh ST, spRIngfiElD, Il 62701","001 MilLER TERracE aPT. 467
lEsLIEtown, Pr 07176",sArAh_hART@KLB.CoM,8566312570,Engineering,EnGINEER lEVEL 3!,"WORkS ON tEcHNIcaL pROJeCTS, EnsURes coMPlIAnce WiTh saFety StANDaRDS, AnD pRoVides eNgINEErIng solutIOnS As EnGinEer level 3.@",94043.62,1989-08-15,664/11/07929#
cHrIsTIna lITtLe,,North Division,"123 noRtH ST, sprinGfieLD, Il 62701&","229 johNSOn sTRavENUE
ASHLeYBerG, OH 34619*",CHRistInA_LItTLe@kLb.coM,9765953908,Operations,OPERatiONS AsSoCIaTe lEVEL 1!,"peRfORmS ProDUCTIoN aNd OPerationAl tasKs WitHIN ThE NorTH dIvisIoN, EnSurInG QUAlitY ANd EFfICIEnCY IN PRoCesSES.#",35132.3,1988.11.28,770-64-6601&
heAthEr MUrraY,AB,West Division,"101 WeST dR, saCRAMENtO, cA 94203!","305 wOoD TURNPikE
KeLlYMouTh, mS 56710",,,,operATiONS AssOcIaTE LevEl 6,"pERFOrMs proDuCtioN AND OPERAtiOnaL TasKS wiTHiN The west DivIsiON, eNsURInG QUaLity ANd efficiENCy iN proceSsEs.",33293.84,8.1989.7,814-97-51412*
NICholas RiVas,MA,Central Division,"202 mAIn St, COLUmBUS, oH 43085",,niCHoLAS_rIVAS%kLb.CoM,(944)864-0350,,SECreTAry LEVeL 4,,40886.02,1988/06/21,355-46-985
dANIel EStes,PhD,,"123 noRTH st, spRINgFIELd, iL 62701","523 sharP cANYoN APt. 777
gEntrYStAd, NM 75566*",daNIEl_EsteS%Klb..Com,(441)763-1567x476,Engineering,enGINEEr LEVel 1,"WoRks on tEchnICAL proJeCts, EnsUReS comPliANce WITH saFetY StANDARds, AND pRoVides EngiNEerInG SoLuTIons as eNGineER lEvEL 1.",88116.32,1973-12-4,
RIcHaRd huNT,HS,West Division,"101 WESt dr, SacrAMENto, Ca 94203%","06689 eMIlY uNioNS
sOUtH DereKBerG, al 62329*",RIchARD_hunT#kLb..CoM,,Administrative,sEcReTAry leVeL 3^,"PrOViDEs AdMiniStRatIve sUPpOrT withIN ThE WeSt divisioN, AssiSTINg WItH SChEdUlinG, DocumenTATIoN, aNd coMMUNICatIon tASKs.",39687.38,1983/03/21,
mIChElLE StuArT!,BA,,"789 easT bLvd, aLbANy, nY 12201","484 MENDOZa ISlaNDs suiTE 422
EaSt TiNa, FL 19065",MiCheLlE_STuArt!KLB.com,(480)419-4425,Administrative,SeCRetaRY LEVel 4&,"ProViDes adMiNIStRatIvE SUPPorT WiTHin The east dIVIsIoN, aSSisTinG wiTH scHeDuLING, DOCumenTAtIoN, AnD cOmMUNICaTiON TAskS.!",43845.6,1976-1-21,752/46/663
JoSHUa aguILAR,AB,South Division,"456 soUTH AvE, auSTIn, tx 73301",,JOshua_AGUILAR#klB..COm,001-977-407-4434,Operations,OpeRATiONS AssocIATE LeVEl 4,"PerFoRmS pROdUcTiOn and OperaTiONal TasKS WItHiN the sOutH DIVisIOn, eNsUring quAlIty and EFFIcIenCY in prOCEsSes.@",30931.19,1974.10.14,840-60-354
tiffANY AnDeRSON dDS,,South Division,"456 sOUtH AvE, aUSTin, tX 73301","19864 WELls FiELDS
WesT ChRistopher, CT 21373*",TiFFAny_anDeRSOn_DdS@kLb..COM,,,OPeRATIons associAte level 2,,34501.69,16-2004-03,277 66 7418
tonYA phAM$,HS,East Division,"789 EAsT BLvd, AlBany, NY 12201","2510 wiLliams forT APt. 682
pOrt ErIkHAVEn, dc 71982",tONyA_PHAm@KLB..com,001-844-617-1854,Operations,OpeRaTioNS aSsOcIatE LEVel 7,"peRFoRms ProducTIon anD OperAtionaL TaskS WiThiN THe EAsT DIVISIon, Ensuring QUALIty ANd eFFiCIENcy IN PrOCEssES.&",37116.72,,618/33/4065
rAyMond ReyNolDS&,,West Division,"101 weSt DR, sacraMentO, cA 94203","77773 sheiLA maLl
soUtH rIChArdpoRT, VA 63172%",RAymOnD_rEyNOLds@kLB.COM,2707385036,Administrative,SEcREtary LEVeL 2$,"PRovideS adMiniStrAtivE SuPPort WiThiN tHe wEsT diviSiOn, asSisting witH sCHEduLiNG, dOCumentaTIOn, ANd cOmmUnicATion TASks.",37281.22,,174 80 82496
RONald SPEncEr!,BS,North Division,"123 NOrTh ST, SpRINgFIeLd, il 62701","2904 vaNeSSA pLAIns
lAUrENvIlLe, tn 03880&",ROnAld_SPeNCEr@klB..coM,(205)439-5024,,secRETarY lEvEL 1$,"pROVidEs AdMIniStratIvE SUPPorT wiThiN THe NorTh DiVISiON, AssiSTing wItH SChEdUlInG, doCUMEntAtiOn, and CoMMuNICATiOn TAsks.@",34699.48,1992-07-18,539 15 10428#
mARGaRET NorMAN,,Central Division,"202 mAIN sT, coLuMBUs, OH 43085","36441 alLEN cAuseWAY suiTE 196
norTh lORIcheSTeR, DC 97444",maRgArEt_NoRmAN!klB.COM,294.844.2416,Operations,operatIOns AssoCIatE lEvEL 7,"pERformS PrODUcTion ANd OPErAtional TASkS wIthIn THe CeNtrAL dIVISION, enSURinG quALitY aND eFficIENCY IN PrOCeSseS.",,,866 99 9880
jUlie gilBERT,AB,North Division,"123 NoRth St, SpRiNgFIelD, il 62701","PsC 0432, bOx 8986
Apo AE 38263%",JUlIE_GIlbErT!KLB.Com,341.903.6971,Administrative,SECREtArY leVEL 1%,"prOviDES aDMInisTrATiVE SuPPORt wIThIN THe NoRTH DIvision, assiSTING wITH SCHedulInG, DOcUmEntATIoN, aND COMMUnicAtIon TASkS.",34466.28,2000/17/5,017 81 84443
LAcEy paRKeR,AB,East Division,"789 easT BlVd, ALbanY, nY 12201","7269 stEPHAnIE Place apT. 201
soUth BrIan, sc 78797$",laCey_pARkeR#kLB..com,678.456.1026x5720,Operations,OPeRatIoNS aSSocIaTe LeVEl 4%,"pErFOrmS PRoduCtioN ANd OperationAl tASkS WiThIN The EaST DIVISion, EnSuRiNG quAlitY And eFFIcieNCY IN PRoCessEs.&",33058.66,1977-08-28,555-82-8169#
aprIL wriGHt%,BS,South Division,"456 sOUth aVE, aUSTIN, TX 73301","963 RiLEy meaDOw
laKe ScOTtMOUtH, wa 05245$",aprIl_WRiGHT!KlB..coM,4174453883,Operations,OpEratiOns ASSoCiATe lEvEL 3,"pErFORMs PrOduCtion aND oPEratioNAl TAsks WithIN tHe sOUTH dIvIsiON, ensurING quaLitY ANd EFFICIENcY IN procESses.^",36153.8,1975.3.20,637/61/50628
mElanie wATkiNS,BS,Central Division,"202 mAIN ST, CoLuMBus, oH 43085&","3470 smiTh mounTaINS
SoUTh tIMoTHytoWN, Va 73716#",MeLanie_watKInS!KLb.cOM,+1-749-949-9963,Administrative,seCrETaRY LevEl 5,"proVIDes admINISTrAtiVE suppOrt WithIn THE CENtRAl dIVisIOn, AsSIstIng witH scHeDulIng, DocUmEnTaTion, anD commUnicATIon TASKs.",43136.92,1989/08/12,517 54 67935^
wAnda weLlS$,AB,East Division,"789 eAsT bLVd, aLbANY, Ny 12201","874 loPez UNioNs
smItHLANd, lA 20693",WANdA_Wells@kLB.coM,+1-902-591-6062x2400,Operations,oPERaTIOns AssoCIATE LEVEl 10,"PErfORmS PrOducTIon And OpErAtIonal TaskS wiTHIN THe eASt DIvIsIOn, ENsuriNG QUALity ANd EFficIEnCY In pROcEsSEs.",39131.63,13/6/1975,
steVe wILLiAMS$,GED,East Division,"789 easT bLVd, alBaNY, nY 12201",,sTevE_WILlIaMS!kLb.CoM,510-223-1356x8087,Operations,oPeratIONs ASSOcIATe LEVEL 3,"PeRFoRMS proDucTION And opeRaTIOnAl TASKS WitHIN tHe EaSt dIvISIoN, eNSURiNG qUAliTY AND eFFiCienCy In PrOcessES.",33424.38,1-1992-3,214-71-22956
gEoRGe caRSOn@,PhD,East Division,"789 eASt BLvD, AlbAny, Ny 12201&","PSc 3019, bOX 6001
Apo aP 23114",geoRGE_CaRSon%Klb.cOm,,Engineering,eNgiNeEr LeVeL 2,"woRKs on teCHNical prOjeCtS, ENsUREs cOmPlianCe witH saFETy sTAnDArDS, aNd PRoViDES eNGIneeRinG solUTIoNS AS engINeER leVeL 2.$",94716.85,04.01.1990,285-81-9595
jo eVANs,BS,Central Division,"202 maIN st, cOluMBUS, oH 43085*","1798 branDT SKYWAY
GaLvanbuRY, NE 40316",Jo_evANS%kLb.cOm,001-955-604-0146x5998,Operations,oPERAtioNS aSsocIatE LEVEl 1,"PeRFOrMS prODuCTION and oPerATIONaL tASks witHIN The cenTrAl divisioN, EnsurInG QUalItY And efficIENCY IN PRocEssEs.",35272.29,1996-10-10,
BRaDLeY gALLegOs!,AB,South Division,"456 souTh avE, AuSTIn, tx 73301#","984 loZANO tRack
kIMbeRLYtoN, Ma 77074#",brADLey_GAlLEGoS@klb..com,469-922-8393,HR,hr SpECiaLisT 4&,"mANaGeS RECRuITMEnT And onBOarding, SuPporTs eMpLoYEE rElatioNS, aNd MaintAIns complIAnCe WITh lABor lAWS As sPECialisT 4.$",38354.01,1995.9.18,502-63-58319%
mRS. anGeLA smITH,CTE,,"101 weSt DR, SAcRamENtO, CA 94203&","755 clArk fORks
stepHeNscHeSter, Hi 40740&",mrS._aNgelA_SmITh!KLB.cOm,+1-736-330-4781x4234,Operations,opERatioNS AssoCiATE LeVEl 3,"pERFOrms ProdUCTIon aNd OperAtIONAL taSks wiThIN thE wesT DIVIsioN, enSUrING quaLITy and efFicIeNcy IN prOcESsEs.&",,1985-20-08,837 05 73903
GRaNT enGLiSH@,,South Division,"456 SOUTH AVE, AuSTIn, tx 73301","14957 woOds LOcK sUIte 602
juAnlaNd, ct 38336",gRanT_EnGLISH#KLB.cOm,920.454.8803,Operations,opERATioNs ASSoCiatE lEVEL 3,"PeRFoRMS ProdUCtIon anD OpeRatiONal tASkS wITHIN tHe SoutH DiViSioN, enSUrIng QuAlITy aNd EffICiEnCY in proceSses.",29258.27,1976-1-21,504 72 8540
brian NEwtOn,BS,West Division,"101 wESt Dr, sAcrAmeNTO, Ca 94203","889 StacY SqUArE
nEW VINcEnT, MS 87885",BRIAN_newTOn@klb.CoM,633-594-0032,Operations,OpERAtiONS ASSocIatE LeVeL 7%,"PERfOrMS ProdUCtIoN and opErATionAL TasKS wIthIn THe west diVIsIoN, eNsuRiNG QUality aNd EfFicIeNcy In PROCESses.$",33372.91,,579/89/486
ERIca CRAWfoRd dDS%,MA,East Division,"789 eAsT blvd, aLbany, nY 12201","583 HeSS lOcKs SuITE 705
eAst TRACy, SD 44260^",ericA_cRAWFoRD_DDs@kLB.cOm,,Operations,oPErAtions MAnager Level 3$,"leaDs teaMs To iMproVE pErfoRmANce, mANAGes OPeRatiOnaL cosTS, AND IMPLeMeNTS PrOCESs optiMiZATioNs AS OpErAtionS MaNaGEr LeVEl 3.!",115561.18,09/1970/19,108 85 19801
BrYAN viLLANUeVa&,BS,Central Division,"202 maiN st, columbUs, oH 43085@","980 kiMbERlY RaPID
sOuTh josHUafoRt, sc 30700&",,(922)767-8682,Operations,opeRAtIONs aSSOCIaTe LEVeL 4@,"pErFORms ProDuction ANd oPerAtioNAl tAskS wIThin THE cenTrAL diviSIoN, ensurINg qUaLiTY aND eFFicIENcy in prOCeSsEs.%",31601.01,2002/6/1,204-68-604
deBBIE aCOSta,GED,South Division,"456 south AvE, AUstiN, TX 73301#","421 LiNdSAy STREET SuitE 856
nEw tODdhAvEN, Ak 39001",DEBBIe_ACOSta@Klb.com,+1-318-390-2901,Operations,,"peRFORMs PrOdUctiON AND OpEraTIONAl tAsKS wItHIn tHE SOuth DivisIOn, EnSuRING QUALity ANd EFFIcIEncY IN prOCeSsEs.",36885.32,3.18.1986,037 59 2233#
DR. JordaN HILL PHD,BS,North Division,"123 nORth sT, SPrINgFIeld, il 62701@","UnIT 3782 BOX 6398
dPO AP 18393",dR._joRDAn_hiLL_PHD@kLb.COm,946-458-4044,,SeCrEtAry lEvEL 1&,"PROvIDeS AdMInIStratiVE SUppOrt wITHIN ThE norTH DIviSion, aSsisTiNg wITh SCheDULIng, doCuMenTATIon, AND COMMUniCaTIOn TAsks.*",38356.84,1994/04/14,552 62 56551
ChLOe sTePheNs,,East Division,"789 East BlVD, aLBANY, Ny 12201!",,cHloE_stepHENS#kLb.cOm,7394068624,Operations,OpEraTiONs asSoCIAte leVEL 6,"PErFoRMs pROdUcTiOn AnD OpeRATIoNaL taSks wItHIn tHe eaSt DIVISION, EnsUrINg quAlIty and EfFicieNcY in PrOCesseS.",35601.63,1989/5/7,455-31-181
emma ButlER!,BA,North Division,"123 nOrTh ST, spriNgFiELD, IL 62701","87334 linDA cENTERs SuiTE 688
souTH jOHN, il 43789",EMmA_bUtLER#KLB.coM,,Administrative,,,43718.88,2001-12-05,223-62-3423
CAthERINe giLL,,North Division,"123 noRTH St, SprinGFIeLD, il 62701$","4230 denNiS HAVEn
wILlIsTown, dE 64445@",cAtHErine_gILl@KLB..coM,(731)591-9863x7085,Operations,oPERatIonS aSSOCIaTe lEveL 1,,29675.44,04/29/1995,005-54-245
chRIsTOPhEr ellioTT,CTE,East Division,"789 East bLvd, albaNY, NY 12201%","4871 shArON ShOReS
WAyneSTAd, Mt 07931",CHRIstoPHer_ELLIott!kLb..com,,Operations,operaTIOns aSSOciAtE levEl 4%,"pERfOrmS prodUCTion ANd OpERATIonal tASks WiTHIn ThE EAsT diVisION, EnsuRInG quaLItY And eFFIcIEncY iN PrOcessEs.",33748.54,1981/15/02,829 17 01170
JUDiTH WAtSOn,CTE,East Division,"789 EAst BlVD, aLbAnY, NY 12201@","064 jESsIca WelLs
hanNAHtOWN, Va 98420!",JUDith_wATSON#KLb.COm,+1-433-320-2378x63014,Operations,OpeRaTIOns AssocIaTe levEL 2,"perFoRms proDuCTIon aND oPerAtionaL tASks wItHiN tHe eAST DIvISion, eNSUrInG QUalITY And EFFicIeNCy iN pROCESses.",30386.84,,494 62 3497^
Eric caMpoS%,,South Division,"456 SouTH ave, AusTIn, TX 73301","8190 SHEpHErD viEW
kennEDYshIrE, mt 59759&",erIC_CaMpOs@KLB.coM,,,OPeratIons asSOciaTE level 6&,"PErfORMs pRoduCtIon ANd operaTional taSKs wITHin The SOuTh DIvIsION, eNSUrInG qUALiTY aND efFICIENCy In prOCessEs.",40314.8,,819/05/98920!
suSan ChamBerS*,BS,North Division,"123 NORTh sT, sPRiNgFIEld, iL 62701$","66566 MEGhAn vilLaGE SuiTe 059
Port WIlLIAmsTaD, SD 49340*",susan_ChamBerS@KLb.com,,Operations,OPerations ASsOCiatE level 3@,"perForMS PrOductIoN and oPerAtioNaL TAskS WIthiN tHe NorTH DiVisIOn, EnsuRInG QUALITY AND EFfICIEnCy in proceSseS.",32208.64,,
yOLAndA kEitH&,AB,South Division,"456 SOUtH AVe, AUsTIn, Tx 73301&","22338 bENson islAnD
rowlANDbURY, PW 06555",yOLANDA_keith#kLB.COm,001-999-538-4253x04289,Administrative,SECreTarY leVEL 1@,"pRoVIDEs adMinIStRATiVe SuPpORT WIThIn The South DiviSioN, aSSistING wITh ScHeduLInG, dOCumeNTatIoN, And cOmMuNIcaTIon tasks.",41839.36,1969/06/09,804/61/10633
heathEr carR*,CTE,West Division,"101 WEst dR, sacRAmENto, CA 94203@","603 JEnNIfer CRossiNg
SAwYermouth, Ok 41061",heaTHeR_CArR@Klb..cOm,(620)604-5740,Operations,oPeraTIOns aSsOcIATE lEvEl 3,"PeRFOrMS PRoDUctIon anD OPeRaTIonal tAsKS witHiN the wEst dIViSiOn, ensUrInG qUaLiTy ANd efFicieNCy IN pROCesSes.%",31784.36,1980-23-5,059/18/4760
dOUgLas RoSS&,HS,Central Division,"202 maIn sT, cOlUmbuS, oh 43085","948 AshlEy MiSsIoN aPT. 178
WeSt AShlEyMoUTH, dE 15326",,237.326.6168x0410,Operations,opErATioNS assoCIAte leVEl 2%,"peRFORmS PROdUCtiON And OpErATIoNAl tASKS wiTHIN the CeNtRaL dIvIsIOn, EnsuRING QuAlitY anD EfFICiEnCY IN PRoCESsES.",35298.5,1975-05-17,714 14 2415
jeReMY gAMbLE,BS,East Division,"789 eaSt bLVD, alBANy, nY 12201","04369 taYLoR crosSING
APRIlside, Pa 63057",,5898096776,Operations,OPeratiOns asSocIaTe LeVel 3!,"pERfORmS pRodUCtioN And opERatIOnaL TAsks withIn thE EasT DIViSIoN, eNSUrING QUaLiTY aNd EffiCiEncy in PROCessEs.&",,,853 97 6557
jESsIca gLoVer*,GED,West Division,"101 wESt Dr, SaCRaMEntO, ca 94203@","Psc 2924, bOx 0955
apO Ae 81184$",JeSsIca_gLOVER@kLb.cOM,203-472-0323,Operations,opeRatioNS AsSOcIATE leVEl 3,"pERFORMs pRoDuctIoN anD operAtIOnal TASKS withIN the west DiVISiON, enSurInG quALiTy AnD EFFicIEncY IN pROcEssES.&",37510.62,1984/03/07,409 66 12648
laURA hAYs*,AB,West Division,"101 WEsT dR, SAcramento, CA 94203","951 bRIaN RUE
lake AsHlEY, ID 85223",laUrA_hAYs@klB.CoM,001-241-422-7463x356,Operations,opErATionS AssoCiATe LEvel 6,"PeRFoRMs pRODuctIoN aND oPerAtionaL TASkS WitHIn tHe wesT diviSIoN, ensuRing QuaLiTY and EffIciENcY iN procESses.",32555.42,2000/3/7,130-27-86501
ERiCa loPEZ,CTE,North Division,,"4211 nIcoLE RuN
tHomasFuRt, Co 41125@",ERICa_LopEZ@kLb.cOm,540-305-7997x984,Operations,OPERaTiONS asSOCiAtE leVEL 9$,"PErfoRMS PROdUcTIon AND oPErATionaL tAsks wiTHIN thE nOrTH DiViSioN, ENsURING qUAliTy and eFFICiency IN pRoCESsES.",,02-07-1992,176-21-79519
sHaUN LEACh,BS,South Division,"456 SOUth aVe, aUsTin, tX 73301","1188 doUGLAs gAtEWAY
SoUth dUsTINFurT, VA 09711%",sHAUn_lEAch@KlB.cOm,628.200.0195,Operations,,"perfORmS proDuCTIOn aND opeRatiONAL TasKs witHIn THE sOUTH dIvISIoN, EnSURiNg QUaliTy aND eFFIcIenCy in pROceSSeS.@",35620.23,2004/06/01,
GEorGE CoOK,,Central Division,"202 MaiN St, COLUMbUs, Oh 43085","07223 HENDersOn WaLL sUitE 217
NortonLAnD, vT 69016^",GEORge_Cook@kLB.CoM,001-598-998-7877x67751,Administrative,SecRetAry LeVEl 5*,"pROvIDEs admINISTRativE supPoRt WithIN tHe cEntrAl dIVisIon, asSisTinG WITH SchedulInG, dOcUmeNTatiON, AND COmmUnIcATioN tasks.%",,1995-07-10,673-10-2111
DeBORaH LiNdSeY,HS,West Division,"101 wEst dr, SAcraMEntO, ca 94203","6863 loRi faLL
JamEsFoRT, AR 73070^",,,Operations,,"PERFormS PrOdUcTIoN AND oPeRAtIoNAl tAsKS wIThiN THE wEst divISioN, ENSURing qUALitY And EFFIcIenCY iN pROcesseS.#",37141.6,1977/8/29,036/33/2786
HENRY cox,HS,East Division,"789 eAST BlvD, ALbANY, ny 12201","96255 joannA SpRiNG
CHRIsToPhersiDe, md 24214",HenrY_COX@KLb..Com,528-982-6928x305,Operations,,"pERFoRMs PRODuCTIon And opEraTIOnal tasKs wIthin thE EaSt dIViSIoN, ENsuRiNG QuALiTy AND eFfIciencY IN PRoCeSSeS.$",36303.12,16-1977-4,190 78 353
JOSEPH MooRe,GED,North Division,"123 norTH ST, sPriNGFiELd, IL 62701!","UsNS SInGLeTOn
fpo Ap 39735$",jOsEpH_MoorE%kLb..COm,560.559.6765x6124,Operations,OpErAtioNS aSSoCiAte leVEL 4,"perForMs prODucTion AnD opERAtIOnaL TAsks WIthIn tHe nOrth DivIsioN, eNSUrINg qUaLiTY aNd EFficIEncy IN proCEsSes.",,1989.3.20,265 13 51176!
DANiELlE FRIeDMan,,West Division,"101 weSt dr, sacramENto, Ca 94203","3050 jACqUelinE fOrGEs
JAnEsTaD, Co 85766*",DAniELLE_frIEdman@kLb..cOM,001-912-423-7855x02650,Engineering,ENgINEerInG MaNaGeR level 2*,"lEADS eNgINeerINg TEAms, MoniTOrs ProjEcT pRoGresS, AnD ensurEs tImeLY DeLivERY aS engInEERINg MaNAger LeVEL 2.*",149929.06,5/6/1967,567/77/5698
chrisTOPhEr beLl,CTE,South Division,"456 SoutH AVe, AUSTIN, tX 73301#","9963 CESAR rANCh
lAKe SamantHA, Vt 71387!",christOpHeR_bEll@KlB.cOM,883.440.2586x26380,Operations,OperaTioNS aSSoCIATe LEVEL 5,"pERForMs PRoDuCtIoN aND opERaTIoNAl TASKs WiThIn tHe SOUTH diViSIOn, ensuRinG QuALiTY and EFFICiEncY in pRocesSEs.@",33980.4,,
MEGHAN paRk,BS,East Division,"789 EasT bLvd, ALBAnY, nY 12201","95319 kIM StAtion
SOutH AnnABurGH, tx 56811",meGHAn_paRK!KLB..CoM,681-571-9779x80530,Operations,oPErAtioNs asSOCiAtE lEvEL 2^,"pErfORMS prOduCtion aND oPERAtiOnal tAsKS WitHiN thE eASt DiVisION, ensuRiNg quaLItY anD EFFicIenCy iN prOceSSES.",27175.45,07/1970/31,027/35/16975
JeREmIAh pAYne iii@,GED,East Division,"789 eaST bLvD, AlbAnY, nY 12201^","PsC 4939, BOX 4447
aPO aA 18555#",jERemiAH_PaYNE_iii@klB.CoM,233-454-4844x239,Operations,opEratIonS ASSOCIAtE LEvEl 2,"PerFoRMs prOdUcTioN aNd OPERATioNAl taskS WiThIn tHe EaST dIviSIOn, EnsUriNg QuaLIty aND efFICieNcy iN PROCESses.",29267.82,8.1.2002,581 65 5766*
AnDRew balL!,BS,South Division,"456 SOuTH aVE, AUSTIn, tX 73301$","93508 nathAn vIlle APT. 335
CAMPBELlSTad, DE 72585^",ANdRew_BALL#KlB.com,,Operations,opErATIoNS AssoCiATE LevEL 1^,"PeRFORms PrODuCTIOn aND opEraTioNaL taSks WithiN THE SoUTH division, eNSurInG quAlity aNd effiCiEncY In PROCESsEs.",27468.65,1984-2-13,476/75/948
mr. ANtHony huGheS,AB,South Division,"456 SOUTh avE, AusTIn, TX 73301&","41653 Colin TRaIL suiTE 048
BRenDAfurT, az 37480@",MR._aNTHoNy_HUghES@KLB.coM,+1-376-918-6223,HR,HR SpEcIaLIst 4,"ManagES RecruItMenT AnD OnBoARdINg, suPPoRts EmPLoyEe RElatIONs, AnD mAinTAIns COmPliAnce WiTH LABor Laws aS SPeCIALiSt 4.",43145.86,1980-11-23,685 28 30346$
tiffAnY mAXWELL,HS,East Division,"789 EAsT BLVd, albanY, nY 12201",,TIfFANY_MaxWELL!kLb.Com,+1-286-821-5355x2552,Operations,,"PerFORMs prODUctioN ANd opERationaL tAsks wiTHin THe EasT divIsION, ENSUriNG QuALIty and eFfiCIENcy iN PrOCESsES.$",32250.89,1982.01.29,438 11 38071
MaRtin MArsh,GED,Central Division,"202 MAin st, ColumBuS, Oh 43085$",,,6549754646,Operations,oPerATiONs asSOciATe leVEl 5^,"PerForMS prODUCTIoN AND opeRATIONAl tASKs wItHIN THe centrAl diVISIOn, ensURING QUaLity aNd EfFICIenCy In PRoCeSSes.",36219.16,1997/12/06,058 76 5233
teresA ChArLes,MS,Central Division,"202 MaIn sT, CoLuMBUS, Oh 43085^","571 ChRiSTinA hEiGHtS
neW WAlterbuRgH, iD 47862%",TeReSa_CHArLES@kLB..Com,(276)537-4674,Engineering,ENGinEER leVel 2,"WOrKs oN TEChnIcaL PROJECtS, ensUREs COmPliaNCE WITh safEty stANDaRds, aND pROvideS eNgIneERIng SOlutIoNS AS engineEr levEl 2.@",85198.06,1975/2/3,
